"nPPT12","nTMAX1.7","nTMIN1.12","PLT_CN","NA"
135,834.899963378906,21.2999992370605,-13.9499998092651,37273625010690
136,717.140014648438,25.1499996185303,-12.0299997329712,37273627010690
137,939.4599609375,23.2999992370605,-12.8500003814697,37273628010690
138,539.929992675781,25.8600006103516,-13.8000001907349,37273632010690
139,1065.84997558594,21.7299995422363,-15.0100002288818,37273641010690
140,1079.03002929688,22.6000003814697,-13.5799999237061,37273642010690
141,1474.55004882812,20.1100006103516,-13.6599998474121,37273648010690
142,692.559997558594,20.2000007629395,-14.7299995422363,37273652010690
143,533.840026855469,21.2700004577637,-14.039999961853,37273655010690
144,751.809997558594,21.6599998474121,-14.0600004196167,37273656010690
145,564.409973144531,22.2299995422363,-13.8500003814697,37273658010690
146,681.340026855469,21.0900001525879,-13.8800001144409,37273659010690
147,464.570007324219,22.5100002288818,-15.8900003433228,37273662010690
148,455.910003662109,22.6900005340576,-14.9799995422363,37273663010690
149,650.049987792969,21.5499992370605,-14.3299999237061,37273670010690
150,848.330017089844,19.8999996185303,-14.4499998092651,37273671010690
151,568.179992675781,20.9500007629395,-13.9799995422363,37273682010690
152,736.219970703125,21.0699996948242,-13.9099998474121,37273683010690
153,1210.89001464844,16.6299991607666,-15.0699996948242,37273685010690
154,849.179992675781,21.3099994659424,-13.960000038147,37273688010690
155,872.200012207031,20.4400005340576,-13.1700000762939,37273698010690
156,970.599975585938,18.7999992370605,-12.5100002288818,37273699010690
157,860.090026855469,20.4200000762939,-13.3500003814697,37273702010690
158,680.710021972656,18.0499992370605,-14.6899995803833,37273713010690
159,587.52001953125,21.8899993896484,-12.3299999237061,37273721010690
160,1047.68005371094,20.5499992370605,-11.3000001907349,37273818010690
161,868.599975585938,23.1900005340576,-11.5100002288818,37273820010690
162,652.210021972656,22.4500007629395,-12.1599998474121,37273822010690
163,655.960021972656,23.6200008392334,-11.9899997711182,37273824010690
164,767.27001953125,20.9099998474121,-11.4300003051758,37273826010690
165,789.330017089844,21.2600002288818,-11.2399997711182,37273828010690
166,677.97998046875,21.0799999237061,-11.2600002288818,37273829010690
167,656.309997558594,21.8500003814697,-11.3900003433228,37273830010690
168,548.210021972656,23.4300003051758,-12.3999996185303,37273833010690
169,688.75,20.3799991607666,-11.3999996185303,37273834010690
170,797.780029296875,21.6800003051758,-11.8100004196167,37273835010690
171,909.789978027344,21.1000003814697,-11.6300001144409,37273838010690
172,691.160034179688,22.7600002288818,-12.0100002288818,37273842010690
173,715.570007324219,18.6800003051758,-12.9799995422363,37273867010690
174,879.440002441406,21.3199996948242,-11.1499996185303,37273868010690
175,444.070007324219,23.3299999237061,-11.5699996948242,37273870010690
176,605.330017089844,22.5499992370605,-12.6099996566772,37273875010690
177,507.779998779297,22.6399993896484,-9.71000003814697,37273923010690
178,660.599975585938,20.6599998474121,-12.1700000762939,37274005010690
179,678.77001953125,21.4699993133545,-11.0100002288818,37274205010690
180,827.97998046875,20.6000003814697,-11.3999996185303,37274206010690
181,598.090026855469,24.5100002288818,-9.89999961853027,37274251010690
182,642.179992675781,24.7299995422363,-9.53999996185303,37274277010690
183,1264.89001464844,20.3799991607666,-11.2299995422363,37274280010690
184,782.359985351562,23.5699996948242,-9.88000011444092,37274281010690
185,1540.63000488281,18.9500007629395,-11.3400001525879,37274283010690
186,530.830017089844,25.9799995422363,-9.73999977111816,37274284010690
187,827.210021972656,24.6000003814697,-8.76000022888184,37274288010690
188,547.369995117188,27.1299991607666,-9.94999980926514,37274290010690
