"PLT_CN","PREV_PLT_CN","PLOT.STATEAB","INVYR","ELEV","LAT","LON","TPH.PICO","TPH.PIEN","TPH.ABLA","TPH.total","TPH.Allhosts","QMD.PICO","QMD.PIEN","QMD.ABLA","QMD.Allhosts","QMD.total","BA.PICO","BA.PIEN","BA.ABLA","BA.total","BA.Allhosts","BA.Otherhosts","SDI.PICO","SDI.PIEN","SDI.ABLA","stand.MPB","stand.SB","stand.WBBB","stand.allBBs","BA.MPB","BA.SB","BA.WBBB","BA.allBBs","agentSB","agentMPB","agentWBBB","agents","nagents","hostsPICO","hostsPIEN","hostsABLA","hosts","nhosts"
2314691010690,-9999,"90672.MT",2003,8300,45.584547,-112.925836,104.0962479781,133.8380331147,356.9014216392,877.3826615297,594.835702732,31.3284645558727,33.0484270797332,22.2686210020588,26.7401809941519,26.219532921928,8.02423424290788,11.4807810847773,13.9003337332867,47.3728214242748,33.4053490609718,13.967472363303,9.70980238077866,13.365322155266,18.8103055175922,0,0,0,0,0,0,0,0,"absent","absent","absent","none","0","PICO","PIEN","ABLA","PICO, PIEN, & ABLA","3"
2314815010690,-9999,"91041.MT",2003,6910,45.440911,-113.621193,371.7723142075,14.8708925683,44.6126777049,431.2558844807,431.2558844807,22.6066278564495,15.494,23.7645020706655,22.5226394055649,22.5226394055649,14.9224082310875,0.280384783715468,1.97881881353182,17.1816118283347,17.1816118283347,0,20.245168552717,0.453448256118502,2.66161656704119,0,0,0,0,0,0,0,0,"absent","absent","absent","none","0","PICO","PIEN","ABLA","PICO, PIEN, & ABLA","3"
2314877010690,-9999,"91862.MT",2003,6870,45.753745,-113.262085,1457.3474716934,0,0,1457.3474716934,1457.3474716934,17.3850609291485,0,0,17.3850609291485,17.3850609291485,34.5944035858388,0,0,34.5944035858388,34.5944035858388,0,52.3975987957425,0,0,0,0,0,0,0,0,0,0,"absent","absent","absent","none","0","PICO","absent","absent","PICO","1"
2315008010690,-9999,"92869.MT",2003,6910,45.044869,-113.414688,713.8028432784,0,0,832.7699838248,713.8028432784,20.502011917533,0,0,20.502011917533,20.605669628943,23.5646795597342,0,0,27.7708280754551,23.5646795597342,0,33.6019242150802,0,0,0,0,0,0,0,0,0,0,"absent","absent","absent","none","0","PICO","absent","absent","PICO","1"
2315083010690,-9999,"93578.MT",2003,7620,45.523139,-113.759721,550.2230250271,178.4507108196,431.2558844807,1174.8005128957,1159.9296203274,18.9921098780947,28.3843342649897,22.4388204127855,21.9601834201391,22.0379384560445,15.587464963437,11.2918736263589,17.0539655441063,44.8122098359332,43.9333041339022,0,22.9076939252898,13.4291302281188,22.1546121072121,0,0,0,0,0,0,0,0,"absent","absent","absent","none","0","PICO","PIEN","ABLA","PICO, PIEN, & ABLA","3"
2315201010690,-9999,"93834.MT",2003,7630,44.904244,-113.420315,1650.6690750813,0,0,1650.6690750813,1650.6690750813,20.2217953507399,0,0,20.2217953507399,20.2217953507399,53.0138980335978,0,0,53.0138980335978,53.0138980335978,0,76.165570045077,0,0,0,0,0,0,0,0,0,0,"absent","absent","absent","none","0","PICO","absent","absent","PICO","1"
2315342010690,-9999,"94099.MT",2003,8670,45.54118,-113.110405,14.8708925683,59.4835702732,0,148.708925683,74.3544628415,41.91,18.9778968803184,0,25.2867173828475,22.2500230561678,2.05145813938555,1.6826101102839,0,5.78213554915519,3.73406824966945,2.04806729948574,2.22830333743704,2.44928615667006,0,0,0,0,0,0,0,0,0,"absent","absent","absent","none","0","PICO","PIEN","absent","PICO & PIEN","2"
2315383010690,-9999,"94275.MT",2003,7300,45.701316,-113.753315,118.9671405464,118.9671405464,431.2558844807,669.1901655735,669.1901655735,27.1431119531273,30.1392968647246,19.1979135791654,23.0213633267498,23.0213633267498,6.88393246060038,8.48757367721758,12.4834147671524,27.8549209049704,27.8549209049704,0,8.70784574080873,10.2691989887274,18.1796690733613,0,0,0,0,0,0,0,0,"absent","absent","absent","none","0","PICO","PIEN","ABLA","PICO, PIEN, & ABLA","3"
2315476010690,-9999,"95261.MT",2003,6880,45.850233,-113.451566,327.1596365026,0,0,565.0939175954,327.1596365026,20.8749736374357,0,0,20.8749736374357,23.7214429200782,11.197005461162,0,0,24.9742893820844,11.197005461162,0,15.7599425964242,0,0,0,0,0,0,0,0,0,0,"absent","absent","absent","none","0","PICO","absent","absent","PICO","1"
2316289010690,-9999,"81835.MT",2003,7500,46.368891,-111.708663,1918.3451413107,14.8708925683,0,1933.216033879,1933.216033879,17.7369535387904,20.066,0,17.7560352781808,17.7560352781808,47.3996467354822,0.470271818104874,0,47.8699185535871,47.8699185535871,0,71.3273459532696,0.685809262010728,0,0,0,0,0,0,0,0,0,"absent","absent","absent","none","0","PICO","PIEN","absent","PICO & PIEN","2"
2316596010690,-9999,"90846.MT",2003,7470,46.413425,-111.190301,1040.962479781,0,133.8380331147,1204.5422980323,1174.8005128957,18.3011992050482,0,17.7448891421352,18.2386785691663,20.3193532304477,27.3832173989078,0,3.309911854202,39.0599890298941,30.6931292531098,8.36685977678431,40.2324016970246,0,5.02514660556086,0,0,0,0,0,0,0,0,"absent","absent","absent","none","0","PICO","absent","ABLA","PICO & ABLA","2"
2316728010690,-9999,"80582.MT",2003,8960,45.010228,-109.727769,223.0633885245,14.8708925683,59.4835702732,475.8685621856,297.417851366,29.905556295333,15.24,23.0301115064604,28.0792950445698,29.0540431717343,15.6683176570481,0.271267191984866,2.4778750947862,31.5493540038109,18.4174599438191,13.1318940599918,19.0943511177901,0.4416131536907,3.34562670088195,0,0,0,0,0,0,0,0,"absent","absent","absent","none","0","PICO","PIEN","ABLA","PICO, PIEN, & ABLA","3"
2316898010690,-9999,"88486.MT",2003,7770,45.238226,-109.536602,252.8051736611,252.8051736611,342.0305290709,877.3826615297,847.6408763931,21.0761487273285,22.08640466574,17.1523811808715,19.9168986347792,20.2058096562451,8.81980063540127,9.68559508981963,7.90321893448351,28.1340247047237,26.4086146597044,1.72541004501929,12.4027983683114,13.2529644238465,12.0669139294944,0,0,0,0,0,0,0,0,"absent","absent","absent","none","0","PICO","PIEN","ABLA","PICO, PIEN, & ABLA","3"
2317046010690,-9999,"95714.MT",2003,8700,45.187558,-109.397022,624.5774878686,44.6126777049,74.3544628415,832.7699838248,743.544628415,18.4134776053794,19.6824052053266,16.1676536825849,18.2808724999656,18.2419233537162,16.6321450605699,1.35739088789316,1.52648077089706,21.7648970929124,19.5160167193601,2.24888037355231,24.7239700831123,1.97129348302911,2.40608107760247,0,0,0,0,0,0,0,0,"absent","absent","absent","none","0","PICO","PIEN","ABLA","PICO, PIEN, & ABLA","3"
2317554010690,-9999,"86308.MT",2003,6510,47.045215,-110.867082,579.9648101637,0,118.9671405464,698.9319507101,698.9319507101,15.7336547566038,0,15.8192762002564,15.7482614940541,15.7482614940541,11.2758990028309,0,2.33824784291177,13.6141468457427,13.6141468457427,0,17.9624954738203,0,3.70428785813924,0,0,0,0,0,0,0,0,"absent","absent","absent","none","0","PICO","absent","ABLA","PICO & ABLA","2"
2317735010690,-9999,"90574.MT",2003,7290,46.845751,-110.693546,252.8051736611,0,14.8708925683,267.6760662294,267.6760662294,15.6849763561861,0,12.954,15.5458467694036,15.5458467694036,4.8847686076697,0,0.195990546209065,5.08075915387876,5.08075915387876,0,7.80234628782965,0,0.340496209633167,0,0,0,0,0,0,0,0,"absent","absent","absent","none","0","PICO","absent","ABLA","PICO & ABLA","2"
2317806010690,-9999,"91371.MT",2003,6220,47.002715,-110.677641,892.253554098,0,0,921.9953392346,892.253554098,16.0084494939391,0,0,16.0084494939391,15.972808242801,17.9587923333714,0,0,18.4748781661226,17.9587923333714,0.516085832751207,28.4805770315179,0,0,0,0,0,0,0,0,0,0,"absent","absent","absent","none","0","PICO","absent","absent","PICO","1"
2318906010690,-9999,"85821.MT",2003,8890,46.084347,-113.140449,0,0,59.4835702732,89.2253554098,59.4835702732,0,0,17.8768007764253,17.8768007764253,18.4119342275601,0,0,1.49302448388559,2.37562243380746,1.49302448388559,0.88259794992187,0,0,2.25178057196848,0,0,0,0,0,0,0,0,"absent","absent","absent","none","0","absent","absent","ABLA","ABLA","1"
2319013010690,-9999,"87676.MT",2003,7920,46.219635,-113.139988,416.3849919124,14.8708925683,0,1026.0915872127,431.2558844807,18.0141852914387,22.86,0,18.2027697854494,20.3623811653902,10.6124246624346,0.610351181965948,0,33.4143913007047,11.2227758444005,22.1916154563041,15.9475386925626,0.844866354023613,0,0,0,0,0,0,0,0,0,"absent","absent","absent","none","0","PICO","PIEN","absent","PICO & PIEN","2"
2319121010690,-9999,"91681.MT",2003,8700,46.036911,-113.131504,104.0962479781,133.8380331147,178.4507108196,565.0939175954,416.3849919124,26.5485985209873,26.1815838244281,17.3799859608689,22.9345664819348,24.266464535499,5.76246867773628,7.20545943510022,4.23357664291047,26.1350869077863,17.201504755747,8.93358215203936,7.45059105189941,9.19115579193346,6.45087731208827,0,0,0,0,0,0,0,0,"absent","absent","absent","none","0","PICO","PIEN","ABLA","PICO, PIEN, & ABLA","3"
2319200010690,-9999,"94556.MT",2003,6840,46.242792,-112.596824,1665.5399676496,14.8708925683,0,1680.4108602179,1680.4108602179,17.6473539275115,16.256,0,17.6355224807246,17.6355224807246,40.7384547803005,0.308641782880558,0,41.047096563181,41.047096563181,0,61.636300548594,0.489652479892499,0,2,0,0,2,0.720741858704233,0,0,0.720741858704233,"absent","MPB","absent","MPB","1","PICO","PIEN","absent","PICO & PIEN","2"
2319506010690,-9999,"82996.MT",2003,5410,46.85928,-109.489304,327.1596365026,14.8708925683,0,594.835702732,342.0305290709,22.3907355476241,15.24,0,22.1279367434413,20.04456735128,12.8821021873724,0.271267191984866,0,18.7707101093816,13.1533693793573,0,17.7331434414892,0.4416131536907,0,0,0,0,0,0,0,0,0,"absent","absent","absent","none","0","PICO","PIEN","absent","PICO & PIEN","2"
2319659010690,-9999,"85317.MT",2003,6030,46.814537,-109.285647,74.3544628415,252.8051736611,163.5798182513,936.8662318029,490.7394547539,21.0296047704183,21.4801224774688,15.7812976422323,19.6903995527123,22.4803951230598,2.58261437169147,9.16114518531556,3.19967188145926,37.1856834372743,14.9434314384663,0.547959727809429,3.66137356252391,12.6723568388921,5.11528490396292,0,0,0,0,0,0,0,0,"absent","absent","absent","none","0","PICO","PIEN","ABLA","PICO, PIEN, & ABLA","3"
