"ID","PRISM_tmin_stable_4kmM3_198112_bil","PRISM_tmin_stable_4kmM3_198212_bil","PRISM_tmin_stable_4kmM3_198312_bil","PRISM_tmin_stable_4kmM3_198412_bil","PRISM_tmin_stable_4kmM3_198512_bil","PRISM_tmin_stable_4kmM3_198612_bil","PRISM_tmin_stable_4kmM3_198712_bil","PRISM_tmin_stable_4kmM3_198812_bil","PRISM_tmin_stable_4kmM3_198912_bil","PRISM_tmin_stable_4kmM3_199012_bil","PRISM_tmin_stable_4kmM3_199112_bil","PRISM_tmin_stable_4kmM3_199212_bil","PRISM_tmin_stable_4kmM3_199312_bil","PRISM_tmin_stable_4kmM3_199412_bil","PRISM_tmin_stable_4kmM3_199512_bil","PRISM_tmin_stable_4kmM3_199612_bil","PRISM_tmin_stable_4kmM3_199712_bil","PRISM_tmin_stable_4kmM3_199812_bil","PRISM_tmin_stable_4kmM3_199912_bil","PRISM_tmin_stable_4kmM3_200012_bil","PRISM_tmin_stable_4kmM3_200112_bil","PRISM_tmin_stable_4kmM3_200212_bil","PRISM_tmin_stable_4kmM3_200312_bil","PRISM_tmin_stable_4kmM3_200412_bil","PRISM_tmin_stable_4kmM3_200512_bil","PRISM_tmin_stable_4kmM3_200612_bil","PRISM_tmin_stable_4kmM3_200712_bil","PRISM_tmin_stable_4kmM3_200812_bil","PRISM_tmin_stable_4kmM3_200912_bil","PRISM_tmin_stable_4kmM3_201012_bil","PRISM_tmin_stable_4kmM3_201112_bil","PRISM_tmin_stable_4kmM3_201212_bil","PRISM_tmin_stable_4kmM3_201312_bil","PRISM_tmin_stable_4kmM3_201412_bil","PRISM_tmin_stable_4kmM3_201512_bil","PRISM_tmin_stable_4kmM3_201612_bil","PRISM_tmin_stable_4kmM3_201712_bil","PRISM_tmin_stable_4kmM3_201812_bil","PRISM_tmin_stable_4kmM3_201912_bil","PRISM_tmin_stable_4kmM3_202012_bil","PLT_CN"
11,-7.73099994659424,-8.72999954223633,-10.1940002441406,-6.53499984741211,-10.4119997024536,-8.80900001525879,-10.0050001144409,-10.8739995956421,-12.581000328064,-11.0089998245239,-9.59200000762939,-10.7910003662109,-9.63000011444092,-7.50899982452393,-7.18800020217896,-9.63899993896484,-10.58899974823,-8.58800029754639,-10.164999961853,-9.16199970245361,-10.3590002059937,-10.6269998550415,-8.88000011444092,-8.83100032806396,-8.81099987030029,-8.9709997177124,-9.4399995803833,-8.17300033569336,-11.2209997177124,-5.30499982833862,-10.3179998397827,-8.89299964904785,-8.68900012969971,-7.51900005340576,-8.28299999237061,-7.04699993133545,-5.43699979782104,-8.4040002822876,-7.69500017166138,-8.88199996948242,37261819010690
12,-8.17199993133545,-9.25,-9.5629997253418,-7.17500019073486,-10.3079996109009,-9.8459997177124,-10.8739995956421,-12.3809995651245,-12.9739999771118,-12.0389995574951,-10.996000289917,-12.3660001754761,-10.0150003433228,-8.46000003814697,-8.32999992370605,-10.3330001831055,-11.3870000839233,-9.25300025939941,-10.8680000305176,-9.51900005340576,-10.8909997940063,-11.2840003967285,-9.29500007629395,-9.62100028991699,-9.00100040435791,-9.50500011444092,-9.97000026702881,-8.65499973297119,-11.5059995651245,-5.73000001907349,-10.875,-9.27299976348877,-9.21399974822998,-8.01900005340576,-8.76700019836426,-7.50400018692017,-5.73600006103516,-8.63300037384033,-8.33800029754639,-9.49199962615967,37261822010690
13,-10.1510000228882,-11.4549999237061,-11.1949996948242,-9.46199989318848,-11.6520004272461,-11.0500001907349,-12.2749996185303,-13.5939998626709,-13.4980001449585,-15.3620004653931,-12.3649997711182,-13.1359996795654,-12.5310001373291,-10.3229999542236,-9.55300045013428,-12.4840002059937,-11.8360004425049,-10.4809999465942,-11.3170003890991,-10.2770004272461,-12.9479999542236,-11.5500001907349,-10.8579998016357,-11.378999710083,-10.8339996337891,-9.70199966430664,-11.4340000152588,-9.77999973297119,-12.4139995574951,-6.32100009918213,-10.5010004043579,-10.4079999923706,-11.3070001602173,-8.2519998550415,-10.6239995956421,-10.003999710083,-7.8899998664856,-10.6899995803833,-11.2040004730225,-10.9049997329712,37262457010690
14,-9.70800018310547,-10.6789999008179,-11.0640001296997,-9.8769998550415,-11.3290004730225,-10.6780004501343,-11.9589996337891,-14.1639995574951,-13.960000038147,-14.3090000152588,-11.1470003128052,-12.7650003433228,-12.1560001373291,-10.3579998016357,-9.86999988555908,-12.2119998931885,-11.9320001602173,-10.4829998016357,-11.4090003967285,-10.5869998931885,-12.8290004730225,-12.2930002212524,-10.7840003967285,-11.4230003356934,-11.8299999237061,-9.46300029754639,-11.6309995651245,-10.1499996185303,-12.2980003356934,-6.57999992370605,-10.3850002288818,-11.0200004577637,-10.3339996337891,-8.97500038146973,-11.048999786377,-9.30399990081787,-6.95900011062622,-9.47599983215332,-9.69999980926514,-9.53299999237061,37262521010690
15,-8.67199993133545,-10.7390003204346,-10.1890001296997,-9.20699977874756,-10.2200002670288,-9.61400032043457,-11.4930000305176,-12.6979999542236,-11.8400001525879,-13.4930000305176,-11.2480001449585,-12.7950000762939,-10.9700002670288,-9.38199996948242,-9.1899995803833,-10.7150001525879,-11.5930004119873,-9.2480001449585,-11.1960000991821,-10.1319999694824,-12.3369998931885,-11.5749998092651,-10.1009998321533,-11.3850002288818,-8.9379997253418,-10.0249996185303,-11.1599998474121,-8.74100017547607,-12.2170000076294,-6.09100008010864,-10.7220001220703,-10.2650003433228,-9.77999973297119,-8.60599994659424,-9.18099975585938,-8.28699970245361,-6.18400001525879,-8.84500026702881,-9.32699966430664,-10.4890003204346,37262723010690
16,-7.48400020599365,-9.43400001525879,-9.40900039672852,-7.99900007247925,-8.74499988555908,-8.28499984741211,-10.2829999923706,-11.0670003890991,-10.3149995803833,-12.3830003738403,-9.76200008392334,-11.7110004425049,-9.48999977111816,-8.04399967193604,-7.98400020599365,-9.70100021362305,-10.1899995803833,-8.22599983215332,-9.86200046539307,-8.9709997177124,-10.5270004272461,-9.98900032043457,-9.05500030517578,-10.1979999542236,-8.11499977111816,-8.43400001525879,-9.83600044250488,-7.72300004959106,-10.8839998245239,-5.31899976730347,-9.17000007629395,-8.80500030517578,-7.82600021362305,-7.1230001449585,-8.00300025939941,-7.05700016021729,-5.41800022125244,-7.625,-7.92899990081787,-8.76700019836426,37262966010690
17,-8.02000045776367,-9.44999980926514,-10.0450000762939,-7.47499990463257,-9.3430004119873,-9.71700000762939,-10.8889999389648,-12.8020000457764,-11.5249996185303,-12.0609998703003,-10.4200000762939,-12.4540004730225,-9.59500026702881,-8.58800029754639,-8.67700004577637,-10.4069995880127,-11.3640003204346,-8.66100025177002,-10.6809997558594,-9.51500034332275,-10.6700000762939,-10.8839998245239,-9.39099979400635,-9.03999996185303,-8.32400035858154,-8.53699970245361,-9.98799991607666,-8.86400032043457,-11.081000328064,-7.36600017547607,-10.128999710083,-8.97500038146973,-8.94299983978271,-7.89599990844727,-8.67399978637695,-7.125,-4.75899982452393,-8.49600028991699,-8.24899959564209,-9.18000030517578,37263627010690
18,-8.52000045776367,-9.83199977874756,-10.168999671936,-8.10299968719482,-9.92399978637695,-10.1160001754761,-11.3079996109009,-13.9309997558594,-13.1969995498657,-13.0159997940063,-11.5200004577637,-14.0979995727539,-10.6359996795654,-9.09200000762939,-9.11800003051758,-10.4969997406006,-11.7589998245239,-9.18000030517578,-11.3159999847412,-9.97500038146973,-11.2790002822876,-11.6300001144409,-9.92599964141846,-10.2250003814697,-9.10900020599365,-9.08500003814697,-10.3070001602173,-9.23900032043457,-11.5329999923706,-6.38399982452393,-10.7130002975464,-9.20100021362305,-9.01299953460693,-7.84100008010864,-9.18000030517578,-7.46999979019165,-5.76000022888184,-8.61800003051758,-8.79500007629395,-9.46399974822998,37263658010690
19,-11.2399997711182,-12.0920000076294,-12.6879997253418,-10.8809995651245,-12.2030000686646,-12.9309997558594,-13.3470001220703,-13.4069995880127,-14.3649997711182,-13.6669998168945,-12.8400001525879,-13.6680002212524,-13.2360000610352,-10.9809999465942,-10.8559999465942,-12.8210000991821,-13.8299999237061,-11,-12.9890003204346,-11.6339998245239,-13.3079996109009,-13.4700002670288,-11.8420000076294,-11.7200002670288,-11.3929996490479,-11.0880002975464,-12.6129999160767,-11.1049995422363,-14.128999710083,-7.79899978637695,-12.5559997558594,-11.7279996871948,-11.543999671936,-10.5970001220703,-11.3669996261597,-10.2170000076294,-8.38799953460693,-11.6420001983643,-11.3459997177124,-12.1990003585815,37264348010690
20,-10.2309999465942,-10.8170003890991,-10.0220003128052,-9.82699966430664,-11.0729999542236,-12.1079998016357,-12.4320001602173,-12.6090002059937,-13.0570001602173,-12.6870002746582,-12.4709997177124,-13.5050001144409,-12.456000328064,-10.1330003738403,-9.78600025177002,-11.8690004348755,-12.7930002212524,-10.3059997558594,-12.2510004043579,-10.6719999313354,-12.4779996871948,-12.4969997406006,-10.8159999847412,-11.1599998474121,-10.1059999465942,-10.2080001831055,-11.3450002670288,-9.74199962615967,-12.7910003662109,-6.4689998626709,-11.7209997177124,-10.7440004348755,-10.7620000839233,-9.68000030517578,-10.1059999465942,-9.14500045776367,-7.08199977874756,-10.1339998245239,-10.2279996871948,-11.1450004577637,37264364010690
