"","PLT_CN","PREV_PLT_CN","PLOT.STATEAB","INVYR","ELEV","LAT","LON","TPH.PICO","TPH.PIEN","TPH.ABLA","TPH.total","TPH.Allhosts","QMD.PICO","QMD.PIEN","QMD.ABLA","QMD.Allhosts","QMD.total","BA.PICO","BA.PIEN","BA.ABLA","BA.total","BA.Allhosts","BA.Otherhosts","SDI.PICO","SDI.PIEN","SDI.ABLA","stand.MPB","stand.SB","stand.WBBB","stand.allBBs","BA.MPB","BA.SB","BA.WBBB","BA.allBBs","agentSB","agentMPB","agentWBBB","agents","nagents","hostsPICO","hostsPIEN","hostsABLA","hosts","nhosts","STATEFP","STATENS","AFFGEOID","GEOID","STUSPS","NAME","LSAD","ALAND","AWATER"
"4501",37274319010690,-9999,"95013.MT",2010,5950,47.884202,-114.861112,14.8708925683,0,29.7417851366,74.3544628415,44.6126777049,18.288,0,17.7554902494975,17.9347503653289,17.2891738148473,0.390624756458207,0,0.736415074241137,1.74560438042261,1.12703983069934,0,0.591196690585698,0,1.12364169679936,0,0,0,0,0,0,0,0,"absent","absent","absent","none",0,"PICO","absent","ABLA","PICO+ABLA",2,"30","00767982","0400000US30","30","MT","Montana","00",376962738765,3869208832
"4502",37274320010690,-9999,"84125.MT",2010,7360,47.783784,-113.615693,0,133.8380331147,29.7417851366,163.5798182513,163.5798182513,0,21.6336173787208,20.4118673325103,21.4166656941398,21.4166656941398,0,4.91958123064109,0.973246403243479,5.89282763388457,5.89282763388457,0,0,6.82692624850656,1.37310409504753,0,0,0,0,0,0,0,0,"absent","absent","absent","none",0,"absent","PIEN","ABLA","PIEN+ABLA",2,"30","00767982","0400000US30","30","MT","Montana","00",376962738765,3869208832
"4503",37274321010690,-9999,"95033.MT",2010,6600,47.790135,-113.266259,0,29.7417851366,490.7394547539,520.4812398905,520.4812398905,0,43.6148399057018,23.8060926935382,25.3583461312895,25.3583461312895,0,4.44350730870765,21.8432631705969,26.2867704793045,26.2867704793045,0,0,4.60194806163812,28.4859759496246,0,0,0,0,0,0,0,0,"absent","absent","absent","none",0,"absent","PIEN","ABLA","PIEN+ABLA",2,"30","00767982","0400000US30","30","MT","Montana","00",376962738765,3869208832
"4504",37274322010690,-9999,"87203.MT",2010,7320,47.740695,-113.474448,0,0,148.708925683,193.3216033879,148.708925683,0,0,17.1702872777365,17.1702872777365,25.3634367605751,0,0,3.443360242259,9.76757806339728,3.443360242259,2.74318947894695,0,0,5.25618405447548,0,0,0,0,0,0,0,0,"absent","absent","absent","none",0,"absent","absent","ABLA","ABLA",1,"30","00767982","0400000US30","30","MT","Montana","00",376962738765,3869208832
"4505",37274323010690,-9999,"84102.MT",2010,6080,47.646256,-113.597075,0,133.8380331147,342.0305290709,475.8685621856,475.8685621856,0,28.5433422165115,24.2663215642765,25.541725541259,25.541725541259,0,8.56405595495776,15.818418836613,24.3824747915708,24.3824747915708,0,0,10.3654085292926,20.433692447788,0,0,0,0,0,0,0,0,"absent","absent","absent","none",0,"absent","PIEN","ABLA","PIEN+ABLA",2,"30","00767982","0400000US30","30","MT","Montana","00",376962738765,3869208832
"4506",37274324010690,-9999,"81844.MT",2010,5890,47.612214,-113.250103,104.0962479781,0,0,118.9671405464,104.0962479781,18.2746399612765,0,0,18.2746399612765,18.3406204775084,2.73037963932545,0,0,3.14300717913354,2.73037963932545,0,4.07639150403535,0,0,0,0,0,0,0,0,0,0,"absent","absent","absent","none",0,"PICO","absent","absent","PICO",1,"30","00767982","0400000US30","30","MT","Montana","00",376962738765,3869208832
"4507",37274325010690,-9999,"84286.MT",2010,7050,48.924351,-114.025789,0,74.3544628415,654.3192730052,728.6737358467,728.6737358467,0,46.4682569847417,19.6054362753154,23.7799917285992,23.7799917285992,0,12.6098554194165,19.752998752358,32.3628541717744,32.3628541717744,0,0,13.0104534396288,28.3618358549791,0,0,0,0,0,0,0,0,"absent","absent","absent","none",0,"absent","PIEN","ABLA","PIEN+ABLA",2,"30","00767982","0400000US30","30","MT","Montana","00",376962738765,3869208832
"4508",37274326010690,-9999,"91383.MT",2010,4640,48.55662,-113.822092,163.5798182513,14.8708925683,0,237.9342810928,178.4507108196,29.1434625571187,23.622,0,28.723907568435,31.2366433415948,10.9119488535845,0.65171942874364,0,18.2337517732472,11.5636682823282,0,13.4343870452738,0.890374508644806,0,2,0,0,2,3.01927919878933,0,0,3.01927919878933,"absent","MPB","absent","MPB",1,"PICO","PIEN","absent","PICO+PIEN",2,"30","00767982","0400000US30","30","MT","Montana","00",376962738765,3869208832
"4509",37274327010690,-9999,"92381.MT",2010,4760,48.562048,-114.185676,0,29.7417851366,0,89.2253554098,29.7417851366,0,14.4980387639156,0,14.4980387639156,16.1318330845154,0,0.490993617492607,0,1.82366905011603,0.490993617492607,0,0,0.814717248738231,0,0,0,0,0,0,0,0,0,"absent","absent","absent","none",0,"absent","PIEN","absent","PIEN",1,"30","00767982","0400000US30","30","MT","Montana","00",376962738765,3869208832
"4510",37274328010690,-9999,"88043.MT",2010,3980,48.384991,-114.525371,0,0,29.7417851366,550.2230250271,29.7417851366,0,0,20.6545890784591,20.6545890784591,27.5391812534089,0,0,0.996530170555514,32.7741253756226,0.996530170555514,5.39565515257453,0,0,1.42738474196134,0,0,0,0,0,0,0,0,"absent","absent","absent","none",0,"absent","absent","ABLA","ABLA",1,"30","00767982","0400000US30","30","MT","Montana","00",376962738765,3869208832
"4511",37274329010690,-9999,"80183.MT",2010,4000,48.211867,-114.869691,89.2253554098,0,0,386.6432067758,89.2253554098,16.820030103025,0,0,16.820030103025,17.437926416071,1.9825864134205,0,0,9.2340105671626,1.9825864134205,0.825405783611727,3.02893893119143,0,0,0,0,0,0,0,0,0,0,"absent","absent","absent","none",0,"PICO","absent","absent","PICO",1,"30","00767982","0400000US30","30","MT","Montana","00",376962738765,3869208832
"4512",37274331010690,-9999,"85801.MT",2010,5240,48.071124,-113.439379,0,74.3544628415,342.0305290709,446.126777049,416.3849919124,0,43.6479618859804,25.1602186414776,29.3291448976708,29.9878170129138,0,11.1256471192704,17.0052881535446,31.5092667409954,28.130935272815,3.37833146818041,0,11.6435216513947,22.0948264095265,0,0,0,0,0,0,0,0,"absent","absent","absent","none",0,"absent","PIEN","ABLA","PIEN+ABLA",2,"30","00767982","0400000US30","30","MT","Montana","00",376962738765,3869208832
"4513",37274333010690,-9999,"87309.MT",2010,7300,47.957907,-112.916518,0,416.3849919124,312.2887439343,951.7371243712,728.6737358467,0,19.0654756188097,16.2237455307835,17.9029095776898,17.7782139727955,0,11.8872297607679,6.45578240925094,23.625639325933,18.3430121700188,5.28262715591416,0,17.3881925041741,10.1049119533442,0,0,0,0,0,0,0,0,"absent","absent","absent","none",0,"absent","PIEN","ABLA","PIEN+ABLA",2,"30","00767982","0400000US30","30","MT","Montana","00",376962738765,3869208832
"4514",37274340010690,-9999,"88853.MT",2010,7170,45.959343,-110.987576,609.7065953003,14.8708925683,208.1924959562,892.253554098,832.7699838248,22.5594887375038,14.478,26.0888860464156,23.3775624844483,23.8451307538178,24.3707952319159,0.244818640766341,11.1292640151635,39.8453829026881,35.7448778878458,0,33.1823412388923,0.406817633438173,14.2308307776095,23,0,0,23,17.5859506483877,0,0,17.5859506483877,"absent","MPB","absent","MPB",1,"PICO","PIEN","ABLA","PICO+PIEN+ABLA",3,"30","00767982","0400000US30","30","MT","Montana","00",376962738765,3869208832
"4515",37274349010690,-9999,"83825.MT",2010,5360,45.606108,-111.006655,550.2230250271,0,0,550.2230250271,550.2230250271,23.2394525404188,0,0,23.2394525404188,23.2394525404188,23.3389249744046,0,0,23.3389249744046,23.3389249744046,0,31.6703529608219,0,0,25,0,0,25,16.4627537695749,0,0,16.4627537695749,"absent","MPB","absent","MPB",1,"PICO","absent","absent","PICO",1,"30","00767982","0400000US30","30","MT","Montana","00",376962738765,3869208832
"4516",37274352010690,-9999,"81406.MT",2010,8730,45.467763,-111.004091,297.417851366,104.0962479781,118.9671405464,832.7699838248,520.4812398905,21.100506335157,19.9663111408049,20.3392393294341,20.7051958061601,21.8450284226346,10.4002334367042,3.25927531169816,3.86533142979102,31.2119277577809,17.5248401781934,13.6870875795875,14.6961636304401,4.60037782068489,5.4587423548722,1,0,0,1,0.962169659570764,0,0,0.962169659570764,"absent","MPB","absent","MPB",1,"PICO","PIEN","ABLA","PICO+PIEN+ABLA",3,"30","00767982","0400000US30","30","MT","Montana","00",376962738765,3869208832
"4517",37274353010690,-9999,"93489.MT",2010,7350,45.331626,-111.197935,178.4507108196,0,0,178.4507108196,178.4507108196,21.4971651154286,0,0,21.4971651154286,21.4971651154286,6.47695632062531,0,0,6.47695632062531,6.47695632062531,0,8.93508278231556,0,0,1,0,0,1,0.271267191984866,0,0,0.271267191984866,"absent","MPB","absent","MPB",1,"PICO","absent","absent","PICO",1,"30","00767982","0400000US30","30","MT","Montana","00",376962738765,3869208832
"4518",37274354010690,-9999,"82751.MT",2010,7660,45.290214,-111.316625,0,0,59.4835702732,282.5469587977,59.4835702732,0,0,22.1009193473937,22.1009193473937,29.5161022993784,0,0,2.28195990057491,19.3329867167681,2.28195990057491,0.974150627216762,0,0,3.16722173366305,0,0,0,0,0,0,0,0,"absent","absent","absent","none",0,"absent","absent","ABLA","ABLA",1,"30","00767982","0400000US30","30","MT","Montana","00",376962738765,3869208832
"4519",37274355010690,-9999,"90894.MT",2010,8290,45.156251,-111.198238,356.9014216392,0,252.8051736611,609.7065953003,609.7065953003,20.9090885940381,0,18.4574818306673,19.9292018025762,19.9292018025762,12.2548721579052,0,6.76427348813595,19.0191456460411,19.0191456460411,0,17.2338794556124,0,9.99437567351018,1,0,6,7,0.799409344379845,0,1.75607830811314,2.55548765249298,"absent","MPB","WBBB","MPB+WBBB",2,"PICO","absent","ABLA","PICO+ABLA",2,"30","00767982","0400000US30","30","MT","Montana","00",376962738765,3869208832
