"ID","PRISM_ppt_stable_4kmM3_1981_bil","PRISM_ppt_stable_4kmM3_1982_bil","PRISM_ppt_stable_4kmM3_1983_bil","PRISM_ppt_stable_4kmM3_1984_bil","PRISM_ppt_stable_4kmM3_1985_bil","PRISM_ppt_stable_4kmM3_1986_bil","PRISM_ppt_stable_4kmM3_1987_bil","PRISM_ppt_stable_4kmM3_1988_bil","PRISM_ppt_stable_4kmM3_1989_bil","PRISM_ppt_stable_4kmM3_1990_bil","PRISM_ppt_stable_4kmM3_1991_bil","PRISM_ppt_stable_4kmM3_1992_bil","PRISM_ppt_stable_4kmM3_1993_bil","PRISM_ppt_stable_4kmM3_1994_bil","PRISM_ppt_stable_4kmM3_1995_bil","PRISM_ppt_stable_4kmM3_1996_bil","PRISM_ppt_stable_4kmM3_1997_bil","PRISM_ppt_stable_4kmM3_1998_bil","PRISM_ppt_stable_4kmM3_1999_bil","PRISM_ppt_stable_4kmM3_2000_bil","PRISM_ppt_stable_4kmM3_2001_bil","PRISM_ppt_stable_4kmM3_2002_bil","PRISM_ppt_stable_4kmM3_2003_bil","PRISM_ppt_stable_4kmM3_2004_bil","PRISM_ppt_stable_4kmM3_2005_bil","PRISM_ppt_stable_4kmM3_2006_bil","PRISM_ppt_stable_4kmM3_2007_bil","PRISM_ppt_stable_4kmM3_2008_bil","PRISM_ppt_stable_4kmM3_2009_bil","PRISM_ppt_stable_4kmM3_2010_bil","PRISM_ppt_stable_4kmM3_2011_bil","PRISM_ppt_stable_4kmM3_2012_bil","PRISM_ppt_stable_4kmM3_2013_bil","PRISM_ppt_stable_4kmM3_2014_bil","PRISM_ppt_stable_4kmM3_2015_bil","PRISM_ppt_stable_4kmM3_2016_bil","PRISM_ppt_stable_4kmM3_2017_bil","PRISM_ppt_stable_4kmM3_2018_bil","PRISM_ppt_stable_4kmM3_2019_bil","PRISM_ppt_stable_4kmM3_2020_bil","PLT_CN"
2383,576.723999023438,694.657043457031,632.882019042969,581.669006347656,592.565002441406,695.325012207031,588.31103515625,351.513031005859,526.589050292969,633.709045410156,568.263000488281,451.747009277344,629.277038574219,510.786010742188,714.157043457031,594.619018554688,494.344024658203,697.096008300781,588.504028320312,507.325012207031,378.568023681641,389.068023681641,490.906036376953,642.676025390625,523.893005371094,434.495025634766,504.689025878906,515.996032714844,582.197998046875,561.7900390625,569.078002929688,427.625030517578,426.640014648438,554.25,460.678009033203,705.818054199219,724.304016113281,442.527008056641,527.592956542969,402.331878662109,40421789010690
2384,700.226013183594,822.585021972656,752.014038085938,698.005004882812,711.174011230469,856.150024414062,652.760009765625,411.322021484375,633.726013183594,745.640014648438,680.469055175781,549.881042480469,724.765014648438,634.802001953125,844.422058105469,714.788024902344,565.530029296875,820.297058105469,736.979064941406,616.966003417969,462.102020263672,462.544036865234,584.981018066406,762.463012695312,625.787048339844,535.767028808594,609.809020996094,630.546020507812,680.726013183594,689.819030761719,671.968017578125,528.253051757812,481.638031005859,658.400024414062,517.391052246094,823.488037109375,821.481018066406,516.158996582031,616.127990722656,479.408996582031,40421791010690
2385,852.20703125,1052.47509765625,1065.36499023438,926.545043945312,800.892028808594,903.494018554688,594.304016113281,650.453002929688,790.552062988281,759.100036621094,899.648071289062,748.754028320312,824.427062988281,858.587036132812,1024.08898925781,1171.68603515625,919.158020019531,966.741027832031,863.515014648438,743.934020996094,687.296020507812,685.194030761719,785.300048828125,896.419067382812,917.965026855469,881.2490234375,713.691040039062,851.035034179688,808.641052246094,880.531066894531,954.364074707031,939.699035644531,667.681030273438,970.096069335938,731.768005371094,828.816040039062,972.891052246094,791.599060058594,943.633972167969,762.208862304688,40422617010690
2386,850.021057128906,1059.67309570312,1072.46899414062,927.125061035156,819.388061523438,917.401062011719,600.111999511719,663.161010742188,814.404052734375,752.605041503906,897.555053710938,754.800048828125,834.656066894531,848.254028320312,1015.95904541016,1165.96704101562,929.931030273438,963.996032714844,867.578063964844,741.68701171875,678.386047363281,696.754028320312,772.689025878906,884.68505859375,893.383056640625,877.567016601562,724.137023925781,842.755065917969,817.234008789062,868.335021972656,962.14306640625,925.464050292969,678.909057617188,971.225036621094,713.748046875,825.694030761719,988.007019042969,795.983032226562,912.785949707031,755.839965820312,40422618010690
2387,677.048034667969,830.0400390625,836.007019042969,713.056030273438,665.051025390625,745.282043457031,490.860015869141,511.617034912109,658.671020507812,588.084045410156,714.224060058594,632.759033203125,677.83203125,670.381042480469,808.115051269531,913.8310546875,743.680053710938,774.758056640625,691.273010253906,609.748046875,530.451049804688,560.169006347656,608.593017578125,706.367004394531,707.60302734375,674.596008300781,597.985046386719,670.472045898438,679.252014160156,689.220031738281,761.373046875,726.730041503906,560.075012207031,796.200012207031,584.018005371094,676.691040039062,831.056030273438,652.093017578125,727.198852539062,619.660888671875,40422619010690
2388,703.085021972656,870.058044433594,878.092041015625,749.9560546875,702.141052246094,767.174011230469,505.201019287109,536.321044921875,681.528015136719,616.3740234375,743.012023925781,647.623046875,707.046020507812,707.579040527344,854.786010742188,966.209045410156,775.462036132812,808.384033203125,722.125061035156,632.350036621094,562.828002929688,584.306030273438,636.531005859375,747.503051757812,757.947021484375,716.885009765625,616.291015625,709.864013671875,694.305053710938,726.263061523438,809.344055175781,760.93505859375,572.046997070312,826.60205078125,605.76904296875,699.06103515625,852.358032226562,671.241027832031,776.055969238281,643.096984863281,40422622010690
2389,1199.85705566406,1528.26403808594,1497.18811035156,1321.51806640625,1094.2041015625,1288.998046875,810.086059570312,996.93505859375,1150.46203613281,1103.26403808594,1221.875,1003.7060546875,1117.62609863281,1218.83605957031,1427.20703125,1690.93811035156,1302.27709960938,1323.51403808594,1241.51403808594,1028.2880859375,958.3720703125,955.966064453125,1106.72302246094,1214.00805664062,1253.49108886719,1272.47204589844,982.411071777344,1184.80407714844,1084.04699707031,1219.12109375,1385.64111328125,1346.67602539062,925.071044921875,1326.15808105469,980.965026855469,1151.60705566406,1326.45104980469,1110.01501464844,1277.75280761719,1032.00598144531,40422624010690
2390,917.342041015625,1152.77099609375,1159.02001953125,1012.23101806641,873.611022949219,1002.39404296875,638.702026367188,733.910034179688,884.298034667969,837.248046875,955.26904296875,802.439025878906,895.682067871094,926.344055175781,1102.43701171875,1283.97009277344,1015.83306884766,1040.37805175781,948.308044433594,810.633056640625,742.58203125,758.465026855469,838.347045898438,950.697021484375,988.60302734375,957.431030273438,773.006042480469,920.828063964844,865.215026855469,943.729064941406,1080.69006347656,1012.54504394531,723.375061035156,1063.01708984375,774.389038085938,887.932067871094,1068.42004394531,867.087036132812,1027.4580078125,823.593994140625,40422625010690
2391,781.635009765625,965.56005859375,977.955017089844,843.166015625,761.136047363281,860.064025878906,551.3740234375,597.631042480469,749.239013671875,698.029052734375,816.083068847656,696.115051269531,772.071044921875,788.726013183594,947.871032714844,1084.20300292969,882.804016113281,893.992065429688,801.779052734375,694.865051269531,630.574035644531,651.794006347656,711.405029296875,819.896057128906,846.446044921875,799.500061035156,671.197021484375,787.063049316406,755.981018066406,809.176025390625,914.031066894531,851.912048339844,625.3740234375,923.220031738281,660.453002929688,766.669006347656,936.858032226562,739.018005371094,863.421875,718.935974121094,40422626010690
2392,661.552001953125,797.856018066406,783.296020507812,667.257019042969,654.745056152344,725.005004882812,472.948028564453,485.388031005859,651.993041992188,587.513000488281,676.570007324219,617.629028320312,653.980041503906,648.631042480469,803.286010742188,911.940063476562,753.482055664062,752.838012695312,664.321044921875,612.127014160156,510.661010742188,569.89501953125,600.209045410156,660.678039550781,679.570007324219,627.370056152344,585.35205078125,638.171020507812,684.136047363281,685.910034179688,770.093017578125,680.744018554688,556.542053222656,806.58203125,570.225036621094,664.115051269531,820.605041503906,637.173034667969,683.729858398438,615.053955078125,40422627010690
