"value","yhat","var"
37.8968,0.267578450725958,"QMD.PIEN"
39.79164,0.286797891282429,"QMD.PIEN"
41.68648,0.284931458459551,"QMD.PIEN"
43.58132,0.279781860523204,"QMD.PIEN"
45.47616,0.275911160601537,"QMD.PIEN"
47.371,0.262670307555449,"QMD.PIEN"
49.26584,0.256100931104167,"QMD.PIEN"
51.16068,0.254315869968172,"QMD.PIEN"
53.05552,0.241096462142551,"QMD.PIEN"
54.95036,0.196804784690369,"QMD.PIEN"
56.8452,0.18556039228172,"QMD.PIEN"
58.74004,0.177636285353158,"QMD.PIEN"
60.63488,0.160925021634179,"QMD.PIEN"
62.52972,0.161269020179652,"QMD.PIEN"
64.42456,0.161164316178495,"QMD.PIEN"
66.3194,0.165145358933188,"QMD.PIEN"
68.21424,0.143476012210732,"QMD.PIEN"
70.10908,0.142034654281338,"QMD.PIEN"
72.00392,0.141910406881229,"QMD.PIEN"
73.89876,0.141910406881229,"QMD.PIEN"
75.7936,0.141731181996494,"QMD.PIEN"
77.68844,0.141731181996494,"QMD.PIEN"
79.58328,0.141731181996494,"QMD.PIEN"
81.47812,0.141731181996494,"QMD.PIEN"
83.37296,0.141731181996494,"QMD.PIEN"
85.2678,0.141731181996494,"QMD.PIEN"
87.16264,0.141731181996494,"QMD.PIEN"
89.05748,0.141731181996494,"QMD.PIEN"
90.95232,0.141731181996494,"QMD.PIEN"
92.84716,0.141731181996494,"QMD.PIEN"
94.742,0.141731181996494,"QMD.PIEN"
0,0.126241691279596,"propBA.PIEN"
2,0.174741835424098,"propBA.PIEN"
4,0.175203135776491,"propBA.PIEN"
6,0.238301902861564,"propBA.PIEN"
8,0.27078492896478,"propBA.PIEN"
10,0.262575450228876,"propBA.PIEN"
12,0.256031615668243,"propBA.PIEN"
14,0.272279693700124,"propBA.PIEN"
16,0.270503815329422,"propBA.PIEN"
18,0.278281255635522,"propBA.PIEN"
20,0.303365489247922,"propBA.PIEN"
22,0.284882320721125,"propBA.PIEN"
24,0.264844648777966,"propBA.PIEN"
26,0.316104448483752,"propBA.PIEN"
28,0.314134519571909,"propBA.PIEN"
30,0.298932866177426,"propBA.PIEN"
32,0.296415055002984,"propBA.PIEN"
34,0.289843891883395,"propBA.PIEN"
36,0.268645936163828,"propBA.PIEN"
38,0.271343101432829,"propBA.PIEN"
40,0.269638208866849,"propBA.PIEN"
42,0.270155059430749,"propBA.PIEN"
44,0.271092168250273,"propBA.PIEN"
46,0.278615389168781,"propBA.PIEN"
48,0.273733068348088,"propBA.PIEN"
50,0.274441964981616,"propBA.PIEN"
52,0.293915705302951,"propBA.PIEN"
54,0.29613780139482,"propBA.PIEN"
56,0.296703674839228,"propBA.PIEN"
58,0.292185895373095,"propBA.PIEN"
60,0.293359076889333,"propBA.PIEN"
62,0.282251974484824,"propBA.PIEN"
64,0.292261009593583,"propBA.PIEN"
66,0.30536983049518,"propBA.PIEN"
68,0.30991153673713,"propBA.PIEN"
70,0.313194616756796,"propBA.PIEN"
